,sex,sex_binary,age,age_group,player_number,first_player,second_player,third_player,fourth_player,encouragement_low,encouragement_middle,encouragement_high,encouragement_neutral,fast_round_sum,success_group,amount_chosen,risk,did_win
92,male,0,23,20,3,0,0,1,0,0.0,2,0,0,25000,25-35,25000,2,1
93,female,1,33,30,3,0,0,1,0,0.0,2,0,0,30000,25-35,30000,2,1
94,male,0,32,30,3,0,0,1,0,0.0,1,0,0,35000,35-45,5000,1,1
95,female,1,37,30,3,0,0,1,0,0.0,2,0,0,20000,15-25,160000,3,0
96,male,0,52,50,3,0,0,1,0,0.0,1,1,0,40000,35-45,40000,2,1
97,male,0,23,20,3,0,0,1,0,0.0,2,0,0,40000,35-45,40000,2,1
98,female,1,25,20,3,0,0,1,0,0.0,2,0,0,40000,35-45,40000,2,1
99,male,0,41,40,3,0,0,1,0,0.0,0,1,0,45000,45-55,45000,2,1
100,female,1,63,50,3,0,0,1,0,0.0,0,3,0,40000,35-45,40000,2,1
0,female,1,30,30,4,0,0,0,1,1.0,2,0,0,30000,25-35,30000,2,0
